RENT_STATION_NAME,06~09,09~12,12~15,15~18,18~21,기타
내곡동_005_3,2,1,3,4,4,0
내곡동_006_1,18,5,9,9,11,0
내곡동_006_2,2,4,0,6,2,2
내곡동_006_3,30,16,12,39,59,20
내곡동_007_1,2,0,2,3,3,0
내곡동_007_2,0,0,2,0,0,0
내곡동_007_3,25,3,11,17,22,2
내곡동_009_1,14,4,4,12,6,4
내곡동_031_1,22,4,2,15,9,2
노량진1동_001_1,7,5,14,16,26,24
노량진1동_001_3,40,14,26,45,59,58
노량진1동_001_5,12,15,10,13,27,29
노량진1동_015_1,9,6,5,15,19,24
노량진1동_016_1,17,14,25,11,26,27
노량진1동_019_1,41,15,16,13,8,15
노량진1동_023_1,0,0,2,0,0,2
노량진2동_003_1,6,9,16,20,20,19
노량진2동_020_1,29,30,37,33,50,77
녹번동_006_1,10,8,7,8,16,3
녹번동_021_1,12,7,11,11,24,9
녹번동_029_1,11,28,38,33,20,18
녹번동_043_1,33,6,16,36,32,21
녹번동_048_1,0,0,2,0,8,0
녹번동_048_2,2,0,1,6,7,4
녹번동_048_3,2,4,2,4,19,3
녹번동_060_1,10,7,11,5,20,9
녹번동_062_1,2,2,4,5,2,7
논현1동_001_1,3,5,2,6,18,8
논현1동_003_1,4,0,4,3,18,9
논현1동_003_2,6,15,9,5,9,10
논현1동_006_1,0,7,7,2,8,4
논현1동_006_2,11,19,24,16,33,7
논현1동_017_1,14,4,8,23,27,16
논현2동_002_1,2,5,5,11,12,5
논현2동_002_2,2,0,2,9,19,4
논현2동_006_1,0,6,3,10,19,4
논현2동_011_1,7,5,8,13,13,2
논현2동_018_1,10,8,2,4,4,6
논현2동_020_1,4,8,4,2,9,3
논현2동_022_1,19,12,17,15,35,6
논현2동_035_1,3,3,6,5,11,4
논현2동_036_1,2,8,9,11,21,11
논현2동_038_1,6,8,4,10,21,11
논현2동_042_1,8,6,2,9,16,7
능동_002_1,18,16,9,22,11,18
능동_002_2,11,24,11,17,17,6
능동_002_3,41,22,13,18,37,11
능동_002_4,35,16,21,35,29,20
능동_002_5,60,24,8,40,64,40
능동_002_6,33,28,34,31,32,28
다산동_016_1,5,7,10,11,5,6
다산동_017_1,2,0,4,2,0,0
답십리1동_006_1,43,27,8,17,35,32
답십리1동_009_1,39,13,9,14,26,11
답십리1동_025_1,58,44,46,46,73,41
답십리1동_028_1,29,1,4,12,9,27
답십리1동_041_1,48,14,9,18,16,17
답십리1동_058_1,43,35,33,38,57,44
답십리2동_004_1,24,10,3,5,10,16
답십리2동_017_1,10,7,9,12,10,12
답십리2동_018_1,82,20,28,18,51,41
당산1동_003_1,34,22,14,18,63,35
당산1동_006_1,40,13,22,20,43,30
당산1동_009_1,50,24,47,51,110,46
당산1동_014_1,142,69,95,114,202,90
당산1동_020_1,24,18,12,16,14,12
당산1동_028_1,8,26,12,33,15,6
당산1동_028_2,4,10,12,13,27,18
당산1동_038_1,15,20,18,24,37,26
당산2동_001_1,71,23,15,34,39,14
당산2동_001_2,42,12,28,26,39,25
당산2동_001_3,41,31,37,49,104,38
당산2동_001_4,25,33,13,30,30,15
당산2동_003_1,92,39,35,43,144,45
당산2동_003_2,17,20,19,43,62,61
당산2동_017_1,88,51,26,23,71,33
당산2동_025_1,94,28,52,55,127,48
당산2동_037_1,62,19,22,33,29,31
당산2동_039_1,59,28,26,31,48,34
당산2동_052_1,61,35,36,59,185,106
당산2동_057_1,100,44,43,33,48,18
당산2동_065_1,49,23,9,15,20,12
대림1동_013_1,8,2,1,12,6,11
대림1동_015_1,20,14,10,29,9,18
대림2동_011_1,7,3,17,15,21,13
대림2동_016_1,16,3,11,11,19,8
대림3동_001_1,22,12,2,4,4,0
대림3동_017_1,40,20,22,38,19,7
대림3동_019_1,30,10,5,4,30,27
대림3동_020_1,17,8,3,19,10,15
대림3동_030_1,27,17,14,20,17,19
대림3동_036_1,5,4,7,8,14,8
대방동_007_1,4,5,3,0,4,0
대방동_007_2,8,0,3,3,0,6
대방동_018_1,26,9,6,13,17,13
대방동_022_1,10,8,6,10,6,16
대방동_028_2,4,4,2,6,2,4
대방동_031_1,21,3,11,13,14,20
대방동_031_2,24,17,17,17,31,32
대방동_033_1,19,14,6,13,52,28
대방동_033_2,14,5,12,10,23,14
대조동_014_1,4,4,5,5,16,10
대조동_020_1,14,9,30,41,57,75
대치1동_010_1,8,3,11,14,29,19
대치1동_015_1,8,9,2,8,6,5
대치1동_023_1,4,4,11,5,12,10
대치2동_001_3,4,15,22,51,71,11
대치2동_001_4,0,0,2,12,24,2
대치2동_008_1,0,4,4,10,14,16
대치2동_010_1,10,15,15,64,83,19
대치2동_012_1,4,0,0,5,5,10
대치2동_019_1,27,7,10,17,23,12
대치2동_024_1,13,8,12,25,39,19
대치2동_036_1,12,3,4,14,23,12
대치2동_036_2,2,10,10,10,20,26
대치2동_046_1,8,6,2,2,3,3
대치2동_051_1,4,7,7,9,29,32
대치2동_052_1,30,12,20,10,17,11
대치2동_053_2,10,6,4,2,2,6
대치2동_058_1,2,4,4,8,4,4
대치4동_001_1,14,14,22,35,46,13
대치4동_011_1,6,8,15,31,25,17
대치4동_014_1,8,0,11,17,8,26
대학동_002_1,0,4,7,20,23,14
대학동_014_1,8,13,3,10,23,7
대학동_015_1,0,0,8,4,6,4
대학동_020_1,0,0,10,13,24,13
대학동_022_1,13,6,8,6,16,17
대흥동_004_2,32,12,12,14,28,14
대흥동_007_1,16,10,11,18,12,9
대흥동_008_2,18,12,18,17,14,7
대흥동_013_1,2,7,7,4,5,9
대흥동_013_2,11,3,5,5,16,10
대흥동_014_1,14,7,11,23,16,17
대흥동_029_1,19,10,8,13,39,17
대흥동_029_2,11,11,10,28,35,23
대흥동_030_1,2,4,2,4,5,3
도곡1동_004_1,10,6,12,0,11,3
도곡1동_004_2,31,16,16,22,46,23
도곡1동_006_1,4,6,7,22,13,8
도곡1동_012_1,7,3,11,17,32,4
도곡1동_013_1,13,12,13,10,21,19
도곡1동_029_1,24,11,6,26,42,37
도곡1동_032_1,6,1,9,0,6,4
도곡2동_001_1,9,7,5,15,28,10
도곡2동_004_1,8,4,6,6,4,2
도곡2동_005_1,15,7,8,7,23,12
도곡2동_029_1,10,9,4,7,5,1
도곡2동_045_1,17,47,15,22,36,11
도곡2동_048_1,6,8,6,2,18,8
도곡2동_052_1,10,4,6,10,7,21
도림동_002_1,32,10,11,36,67,56
도림동_002_2,32,18,8,9,7,10
도림동_002_3,33,5,9,8,15,8
도림동_003_1,38,11,9,15,19,10
도림동_018_1,26,2,8,14,21,11
도봉1동_003_1,2,2,3,1,0,2
도봉1동_009_1,3,8,7,10,6,0
도봉1동_011_2,0,0,6,1,9,0
도봉1동_011_5,0,0,10,19,5,0
도봉1동_026_1,6,9,11,6,10,6
도봉1동_030_1,15,3,10,17,17,20
도봉1동_034_1,2,8,6,12,11,15
도봉1동_039_1,10,16,16,8,11,7
도봉2동_001_1,2,12,17,27,15,13
도봉2동_001_3,1,3,0,12,7,7
도봉2동_001_4,15,13,17,28,32,23
도봉2동_001_5,4,11,1,17,10,13
도봉2동_014_1,14,29,12,27,15,7
도봉2동_031_1,2,5,4,11,7,5
도봉2동_031_2,6,4,9,17,11,9
도화동_004_1,39,26,33,51,113,38
독산1동_010_1,10,0,4,5,12,9
독산1동_011_1,11,3,2,6,3,5
독산1동_012_1,6,10,4,2,0,2
독산1동_012_2,6,0,4,4,4,0
독산1동_018_1,6,3,3,4,4,0
독산1동_018_2,16,6,0,0,2,4
독산1동_020_1,22,0,0,2,0,2
독산1동_021_2,16,6,10,15,16,7
독산1동_026_2,6,0,0,2,4,10
독산1동_026_3,51,17,11,14,34,27
독산1동_026_4,37,15,12,36,43,25
독산1동_033_1,31,23,17,21,31,15
독산1동_035_1,30,10,8,12,15,7
독산1동_039_1,20,0,2,6,4,12
독산1동_040_1,30,6,6,2,6,10
독산1동_042_1,18,14,6,9,7,10
독산1동_045_1,23,14,17,20,14,22
독산1동_046_1,72,27,13,24,62,26
독산1동_051_1,28,10,14,12,12,10
독산1동_056_1,44,14,6,10,10,4
독산1동_070_1,16,2,0,10,8,2
독산1동_086_1,16,0,0,7,9,6
독산2동_005_1,10,5,3,0,5,1
독산2동_025_1,12,5,4,5,2,2
독산3동_004_1,20,2,4,8,15,3
독산3동_026_1,24,4,6,8,7,5
독산3동_037_1,24,5,16,12,16,11
독산3동_048_1,18,14,6,8,12,12
독산4동_002_1,25,0,4,12,19,16
독산4동_017_1,4,0,0,0,2,2
돈암1동_003_1,1,1,1,3,0,0
돈암1동_015_1,4,4,4,6,10,0
돈암1동_018_1,6,4,0,6,4,4
돈암2동_037_1,0,0,1,5,11,3
동선동_007_1,20,4,16,12,19,23
동선동_021_1,4,4,2,2,4,6
동선동_024_1,11,9,7,14,22,11
동선동_028_1,25,20,32,36,31,46
동화동_002_1,11,22,17,28,28,26
동화동_011_1,32,18,7,25,21,23
둔촌1동_001_2,56,27,13,40,37,43
둔촌1동_001_3,6,0,0,2,4,4
둔촌1동_001_4,49,33,27,42,45,20
둔촌2동_003_1,30,9,1,18,13,7
둔촌2동_003_2,6,0,0,4,2,2
둔촌2동_004_1,13,23,10,21,23,18
둔촌2동_013_1,8,5,9,34,8,6
둔촌2동_020_1,2,2,12,14,4,4
둔촌2동_026_1,41,27,22,49,56,47
둔촌2동_032_1,40,9,13,12,23,27
둔촌2동_041_1,55,17,0,21,26,27
등촌1동_003_1,52,35,55,91,130,43
등촌1동_012_1,44,36,39,51,128,30
등촌1동_016_1,18,10,16,15,31,24
등촌1동_019_1,22,9,11,26,27,17
등촌1동_025_1,64,19,32,53,64,46
등촌1동_026_1,37,8,14,19,51,15
등촌1동_033_1,45,26,23,67,78,39
등촌1동_043_1,44,15,17,69,39,28
등촌2동_010_1,49,29,22,44,40,30
등촌2동_020_1,19,13,16,19,12,9
등촌2동_026_1,38,5,12,32,34,29
등촌2동_029_1,8,12,10,10,0,0
등촌2동_034_1,29,15,6,24,16,12
등촌3동_001_1,116,42,62,78,86,88
등촌3동_001_4,26,9,19,20,30,20
등촌3동_001_5,36,23,23,41,76,23
등촌3동_002_1,54,45,34,61,104,62
등촌3동_003_1,63,42,18,17,24,28
등촌3동_003_2,49,42,29,33,45,36
등촌3동_059_1,40,21,18,40,37,22
등촌3동_064_1,60,29,28,58,112,69
